Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
128,0.163564,0.00394918271231578,60.0,None,MIT-Normal_05,MIT-Normal,none
128,0.242353,0.0059907956121534,60.0,None,MIT-Normal_06,MIT-Normal,none
128,0.191488,0.003892885562767113,60.0,None,MIT-Normal_07,MIT-Normal,none
128,0.255318,0.0047188055155919385,60.0,None,MIT-Normal_08,MIT-Normal,none
128,0.196475,0.009701318100767128,60.0,None,MIT-Normal_09,MIT-Normal,none
128,0.224401,0.0025275267931132747,60.0,None,MIT-Normal_10,MIT-Normal,none
128,0.216422,0.008290072137645682,60.0,None,MIT-Normal_11,MIT-Normal,none
128,0.208444,0.0028927404450674807,60.0,None,MIT-Normal_12,MIT-Normal,none
128,0.238363,0.04668938345833336,60.0,None,MIT-Normal_13,MIT-Normal,none
128,0.211437,0.014894342648380977,60.0,None,MIT-Normal_14,MIT-Normal,none
128,0.186502,0.006000710702843858,60.0,None,MIT-Normal_15,MIT-Normal,none
128,0.216421,0.007048736700486426,60.0,None,MIT-Normal_16,MIT-Normal,none
128,0.270277,0.03550748625678858,60.0,None,MIT-Normal_17,MIT-Normal,none
500,0.001994,0.04015487105782464,0.16666666666666666,None,LUDB_01,LUDB,none
500,0.001995,0.0025682612019302204,0.16666666666666666,None,LUDB_02,LUDB,none
500,0.000997,0.0030005593568010313,0.16666666666666666,None,LUDB_03,LUDB,none
500,0.001995,0.0020388138366470216,0.16666666666666666,None,LUDB_04,LUDB,none
500,0.000997,0.014196067717788249,0.16666666666666666,None,LUDB_05,LUDB,none
500,0.001995,0.003992016400124981,0.16666666666666666,None,LUDB_06,LUDB,none
500,0.001995,0.009139772058399952,0.16666666666666666,None,LUDB_07,LUDB,none
500,0.000998,0.0020701167468881554,0.16666666666666666,None,LUDB_08,LUDB,none
500,0.001994,0.003374648556360436,0.16666666666666666,None,LUDB_09,LUDB,none
500,0.000998,0.0022360980644589882,0.16666666666666666,None,LUDB_10,LUDB,none
500,0.001994,0.0028641908304566327,0.16666666666666666,None,LUDB_11,LUDB,none
500,0.000918,0.013313310899155302,0.16666666666666666,None,LUDB_12,LUDB,none
500,0.000997,0.003904279302456701,0.16666666666666666,None,LUDB_13,LUDB,none
500,0.001995,0.002025457171476551,0.16666666666666666,None,LUDB_14,LUDB,none
500,0.001995,0.009475892009987925,0.16666666666666666,None,LUDB_15,LUDB,none
500,0.001995,0.0021653087536216142,0.16666666666666666,None,LUDB_16,LUDB,none
500,0.001994,0.001093468842724914,0.16666666666666666,None,LUDB_17,LUDB,none
500,0.000997,0.0020276656373104497,0.16666666666666666,None,LUDB_18,LUDB,none
