,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Order,Detrend_Position,Filter_Order,Filter_Low,Filter_High,Difference_Mean,Difference_SD
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.1,1.0,-0.009743835057269544,0.06590908861965925
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.1,0.35,-0.010233805926374096,0.07118246911851285
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.1,0.25,0.009212689444434489,0.0771322369257859
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.15,3.0,-0.007189309819714022,0.060733565374992894
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.15,2.0,-0.007112211841830306,0.06023145796262212
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.15,1.0,-0.006831342551670888,0.05976655005036312
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.15,0.35,-0.008703538419983017,0.05950341854607736
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.15,0.25,0.05338214727066193,0.16437639470878598
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.2,3.0,-0.0030029120077200953,0.06179961109618128
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.2,2.0,-0.0027208753210082584,0.06150378305187895
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.2,1.0,-0.004603196942011818,0.0625890912468991
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.2,0.35,0.002845873045924181,0.0715690975583806
0,120,1000,15,Simple,0.01,1.0,1,First,3,0.2,0.25,0.13267063668825307,0.21690021163316672
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.0,3.0,-0.007751496138068846,0.06231784224626346
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.0,2.0,-0.007752956790617075,0.06238695387626772
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.0,1.0,-0.007697452701805987,0.06231671043892038
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.0,0.35,-0.008317285606571455,0.05842454072026732
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.0,0.25,-0.0038841142039166346,0.05619365461269073
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.05,3.0,-0.007343441672268306,0.06358093059287932
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.05,2.0,-0.007733031651533496,0.0632124525059507
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.05,1.0,-0.00915191425102796,0.06307031951570091
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.05,0.35,-0.01489216699950688,0.06925329440142175
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.05,0.25,0.004809101573796402,0.0575992018383914
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.1,3.0,-0.010498346649793398,0.06653210715599658
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.1,2.0,-0.010361322791409317,0.06669395104891411
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.1,1.0,-0.010048838289876644,0.06799703554913288
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.1,0.35,-0.009536998835964235,0.07441689434609809
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.1,0.25,0.023481912120570526,0.1072752693069032
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.15,3.0,-0.00718514229794431,0.05976259592454059
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.15,2.0,-0.007256070123639403,0.05969178582345628
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.15,1.0,-0.007394765158070193,0.059994746937187225
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.15,0.35,-0.006474363758236327,0.061906745286470534
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.15,0.25,0.05181404819845893,0.12356125767502707
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.2,3.0,-0.003096051812588171,0.06713488948575404
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.2,2.0,-0.0027557967659897604,0.06936817184129086
0,120,1000,15,Simple,0.01,1.0,1,First,4,0.2,1.0,-0.0018260003918108504,0.07857566076314876
